dataset_name,source (with link),No. of cells,Donor count
"10k Human PBMCs, 3' v3.1, Chromium X (without intronic reads): ID_1",https://www.10xgenomics.com/datasets/10k-human-pbmcs-3-v3-1-chromium-x-without-introns-3-1-high,11922,1
3k PBMCs from a Healthy Donor:ID_2,https://www.10xgenomics.com/datasets/3-k-pbm-cs-from-a-healthy-donor-1-standard-1-0-0,2691,1
33k PBMCs from a Healthy Donor:ID_3,https://www.10xgenomics.com/datasets/33-k-pbm-cs-from-a-healthy-donor-1-standard-1-1-0,33148,1
6k PBMCs from a Healthy Donor:ID_4,https://www.10xgenomics.com/datasets/6-k-pbm-cs-from-a-healthy-donor-1-standard-1-1-0,5419,1
"10k Peripheral Blood Mononuclear Cells (PBMCs) from a Healthy Donor, Dual Indexed
: ID_5",https://www.10xgenomics.com/datasets/10-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-dual-indexed-3-1-standard-4-0-0,10813,1
20k_PBMC_3p_HT_nextgem_Chromium_X_PBMC:ID_6,https://www.10xgenomics.com/datasets/20-k-human-pbm-cs-3-ht-v-3-1-chromium-x-3-1-high-6-1-0,23766,1
8k PBMCs from a Healthy Donor: ID_7,https://www.10xgenomics.com/datasets/8-k-pbm-cs-from-a-healthy-donor-2-standard-2-0-1,8381,1
4k PBMCs from a Healthy Donor: ID_8,https://www.10xgenomics.com/datasets/4-k-pbm-cs-from-a-healthy-donor-2-standard-2-1-0,4340,1
"Integrated GEX, TotalSeq™-C, and BCR Analysis of Chromium Connect Generated Library from 10k Human PBMCs: ID_9",https://www.10xgenomics.com/datasets/integrated-gex-totalseq-c-and-bcr-analysis-of-chromium-connect-generated-library-from-10k-human-pbmcs-2-standard,10961,1
(PBMCs) from a healthy donor - Manual (channel 1): ID_10,https://www.10xgenomics.com/datasets/peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-manual-channel-1-3-1-standard-3-1-0,4322,1
10k Human PBMCs Multiplexed: ID_11,https://www.10xgenomics.com/datasets/10-k-human-pbm-cs-multiplexed-2-cm-os-3-1-standard-6-0-0,12519,2
5k PBMC from a Healthy Donor with a Panel of TotalSeq™-B Antibodies (v3 chemistry):ID_12,https://www.10xgenomics.com/datasets/5-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-with-cell-surface-proteins-v-3-chemistry-3-1-standard-3-1-0,5197,1
5k PBMC from a Healthy Donor  with a Panel of TotalSeq™-B Antibodies (Next GEM):ID_13,https://www.10xgenomics.com/datasets/5-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-with-cell-surface-proteins-next-gem-3-1-standard-3-1-0,5459,1